ticker,series,date,value
SDN,Down Var (SDN),2019-01-23,16.2066
SDN,Down Var (SDN),2019-01-24,15.7434
SDN,Down Var (SDN),2019-01-25,17.0822
SDN,Down Var (SDN),2019-01-28,17.5484
SDN,Down Var (SDN),2019-01-29,17.3444
SDN,Down Var (SDN),2019-01-30,17.2766
SDN,Down Var (SDN),2019-01-31,16.6287
SDN,Down Var (SDN),2019-02-01,15.5876
SDN,Down Var (SDN),2019-02-04,15.3746
SDN,Down Var (SDN),2019-02-05,15.5204
SDN,Down Var (SDN),2019-02-06,15.808
SDN,Down Var (SDN),2019-02-07,16.2969
SDN,Down Var (SDN),2019-02-08,14.7753
SDN,Down Var (SDN),2019-02-11,15.2304
SDN,Down Var (SDN),2019-02-12,14.8788
SDN,Down Var (SDN),2019-02-13,14.069
SDN,Down Var (SDN),2019-02-14,14.377
SDN,Down Var (SDN),2019-02-15,14.2258
SDN,Down Var (SDN),2019-02-19,15.4101
SDN,Down Var (SDN),2019-02-20,14.1358
SDN,Down Var (SDN),2019-02-21,13.532
SDN,Down Var (SDN),2019-02-22,13.6914
SDN,Down Var (SDN),2019-02-25,12.4825
SDN,Down Var (SDN),2019-02-26,12.5952
SDN,Down Var (SDN),2019-02-27,12.2526
SDN,Down Var (SDN),2019-02-28,11.7884
SDN,Down Var (SDN),2019-03-01,12.6837
SDN,Down Var (SDN),2019-03-04,12.8779
SDN,Down Var (SDN),2019-03-05,12.4983
SDN,Down Var (SDN),2019-03-06,13.2273
SDN,Down Var (SDN),2019-03-07,13.2715
SDN,Down Var (SDN),2019-03-08,13.4649
SDN,Down Var (SDN),2019-03-11,14.0931
SDN,Down Var (SDN),2019-03-12,14.0254
SDN,Down Var (SDN),2019-03-13,13.7746
SDN,Down Var (SDN),2019-03-14,13.6476
SDN,Down Var (SDN),2019-03-15,13.4187
SDN,Down Var (SDN),2019-03-18,13.5951
SDN,Down Var (SDN),2019-03-19,13.598
SDN,Down Var (SDN),2019-03-20,13.273
SDN,Down Var (SDN),2019-03-21,12.9203
SDN,Down Var (SDN),2019-03-22,12.4567
