ticker,series,date,value
CCO,Convexity (CCO),2018-07-24,1.2223
CCO,Convexity (CCO),2018-07-25,1.1845
CCO,Convexity (CCO),2018-07-26,1.209
CCO,Convexity (CCO),2018-07-27,1.1952
CCO,Convexity (CCO),2018-07-30,1.178
CCO,Convexity (CCO),2018-07-31,1.1502
CCO,Convexity (CCO),2018-08-01,1.1422
CCO,Convexity (CCO),2018-08-02,1.1232
CCO,Convexity (CCO),2018-08-03,1.0897
CCO,Convexity (CCO),2018-08-06,1.1173
CCO,Convexity (CCO),2018-08-07,1.1037
CCO,Convexity (CCO),2018-08-08,1.093
CCO,Convexity (CCO),2018-08-09,1.0825
CCO,Convexity (CCO),2018-08-10,1.0735
CCO,Convexity (CCO),2018-08-13,1.0977
CCO,Convexity (CCO),2018-08-14,1.0842
CCO,Convexity (CCO),2018-08-15,1.0735
CCO,Convexity (CCO),2018-08-16,1.067
CCO,Convexity (CCO),2018-08-17,1.0746
CCO,Convexity (CCO),2018-08-20,1.0362
CCO,Convexity (CCO),2018-08-21,1.0501
CCO,Convexity (CCO),2018-08-22,1.0515
CCO,Convexity (CCO),2018-08-23,1.0668
CCO,Convexity (CCO),2018-08-24,1.0394
CCO,Convexity (CCO),2018-08-27,1.0596
CCO,Convexity (CCO),2018-08-28,1.0524
CCO,Convexity (CCO),2018-08-29,1.0589
CCO,Convexity (CCO),2018-08-30,1.0428
CCO,Convexity (CCO),2018-08-31,1.0399
CCO,Convexity (CCO),2018-09-04,1.0384
CCO,Convexity (CCO),2018-09-05,1.0483
CCO,Convexity (CCO),2018-09-06,1.0465
CCO,Convexity (CCO),2018-09-07,1.0596
CCO,Convexity (CCO),2018-09-10,1.0508
CCO,Convexity (CCO),2018-09-11,1.0483
CCO,Convexity (CCO),2018-09-12,1.0327
CCO,Convexity (CCO),2018-09-13,1.0485
CCO,Convexity (CCO),2018-09-14,1.0409
CCO,Convexity (CCO),2018-09-17,1.0451
CCO,Convexity (CCO),2018-09-18,1.0304
CCO,Convexity (CCO),2018-09-19,1.0673
CCO,Convexity (CCO),2018-09-20,1.0437
CCO,Convexity (CCO),2018-09-21,1.0603
CCO,Convexity (CCO),2018-09-24,1.0351
CCO,Convexity (CCO),2018-09-25,1.0369
CCO,Convexity (CCO),2018-09-26,1.0274
CCO,Convexity (CCO),2018-09-27,1.0366
CCO,Convexity (CCO),2018-09-28,1.04
CCO,Convexity (CCO),2018-10-01,1.0346
CCO,Convexity (CCO),2018-10-02,1.0177
CCO,Convexity (CCO),2018-10-03,1.0399
CCO,Convexity (CCO),2018-10-04,1.026
CCO,Convexity (CCO),2018-10-05,1.0279
CCO,Convexity (CCO),2018-10-08,1.0562
CCO,Convexity (CCO),2018-10-09,1.056
CCO,Convexity (CCO),2018-10-10,1.0436
CCO,Convexity (CCO),2018-10-11,1.0519
CCO,Convexity (CCO),2018-10-12,1.0533
CCO,Convexity (CCO),2018-10-15,1.0472
CCO,Convexity (CCO),2018-10-16,1.0747
CCO,Convexity (CCO),2018-10-17,1.055
CCO,Convexity (CCO),2018-10-18,1.0637
CCO,Convexity (CCO),2018-10-19,1.0563
CCO,Convexity (CCO),2018-10-22,1.0628
CCO,Convexity (CCO),2018-10-23,1.0843
CCO,Convexity (CCO),2018-10-24,1.0623
CCO,Convexity (CCO),2018-10-25,1.0693
CCO,Convexity (CCO),2018-10-26,1.0569
CCO,Convexity (CCO),2018-10-29,1.0616
CCO,Convexity (CCO),2018-10-30,1.0754
CCO,Convexity (CCO),2018-10-31,1.0339
CCO,Convexity (CCO),2018-11-01,1.08
CCO,Convexity (CCO),2018-11-02,1.0855
CCO,Convexity (CCO),2018-11-05,1.089
CCO,Convexity (CCO),2018-11-06,1.0837
CCO,Convexity (CCO),2018-11-07,1.0867
CCO,Convexity (CCO),2018-11-08,1.0659
CCO,Convexity (CCO),2018-11-09,1.1048
CCO,Convexity (CCO),2018-11-12,1.0884
