ticker,series,date,value
HGUP,Up Var (HGUP),2022-03-22,32.7416
HGUP,Up Var (HGUP),2022-03-23,33.2671
HGUP,Up Var (HGUP),2022-03-24,33.4247
HGUP,Up Var (HGUP),2022-03-25,32.4938
HGUP,Up Var (HGUP),2022-03-28,32.5922
HGUP,Up Var (HGUP),2022-03-29,31.3454
HGUP,Up Var (HGUP),2022-03-30,31.4514
HGUP,Up Var (HGUP),2022-03-31,30.3512
HGUP,Up Var (HGUP),2022-04-01,29.0906
HGUP,Up Var (HGUP),2022-04-04,30.6424
HGUP,Up Var (HGUP),2022-04-05,31.5371
HGUP,Up Var (HGUP),2022-04-06,32.2389
HGUP,Up Var (HGUP),2022-04-07,30.4111
HGUP,Up Var (HGUP),2022-04-08,28.2491
HGUP,Up Var (HGUP),2022-04-11,29.3563
HGUP,Up Var (HGUP),2022-04-12,29.1697
HGUP,Up Var (HGUP),2022-04-13,28.1677
HGUP,Up Var (HGUP),2022-04-14,29.136
HGUP,Up Var (HGUP),2022-04-18,31.3145
HGUP,Up Var (HGUP),2022-04-19,29.5811
HGUP,Up Var (HGUP),2022-04-20,27.8733
HGUP,Up Var (HGUP),2022-04-21,28.2067
HGUP,Up Var (HGUP),2022-04-22,28.7845
HGUP,Up Var (HGUP),2022-04-25,30.1652
HGUP,Up Var (HGUP),2022-04-26,28.4292
HGUP,Up Var (HGUP),2022-04-27,28.3395
HGUP,Up Var (HGUP),2022-04-28,29.5995
HGUP,Up Var (HGUP),2022-04-29,31.0604
HGUP,Up Var (HGUP),2022-05-02,35.8754
HGUP,Up Var (HGUP),2022-05-03,36.0007
HGUP,Up Var (HGUP),2022-05-04,36.3522
HGUP,Up Var (HGUP),2022-05-05,34.0478
HGUP,Up Var (HGUP),2022-05-06,32.5157
HGUP,Up Var (HGUP),2022-05-09,32.8727
HGUP,Up Var (HGUP),2022-05-10,34.3681
HGUP,Up Var (HGUP),2022-05-11,33.2153
HGUP,Up Var (HGUP),2022-05-12,34.2096
HGUP,Up Var (HGUP),2022-05-13,33.1679
HGUP,Up Var (HGUP),2022-05-16,33.482
HGUP,Up Var (HGUP),2022-05-17,32.6805
HGUP,Up Var (HGUP),2022-05-18,30.665
HGUP,Up Var (HGUP),2022-05-19,29.4097
HGUP,Up Var (HGUP),2022-05-20,29.3731
HGUP,Up Var (HGUP),2022-05-23,29.0413
HGUP,Up Var (HGUP),2022-05-24,27.569
HGUP,Up Var (HGUP),2022-05-25,27.7396
HGUP,Up Var (HGUP),2022-05-26,26.9012
HGUP,Up Var (HGUP),2022-05-27,25.7856
HGUP,Up Var (HGUP),2022-05-31,28.2137
HGUP,Up Var (HGUP),2022-06-01,27.6818
HGUP,Up Var (HGUP),2022-06-02,29.5389
HGUP,Up Var (HGUP),2022-06-03,28.302
HGUP,Up Var (HGUP),2022-06-06,29.9821
HGUP,Up Var (HGUP),2022-06-07,28.8366
HGUP,Up Var (HGUP),2022-06-08,27.4992
HGUP,Up Var (HGUP),2022-06-09,27.7397
HGUP,Up Var (HGUP),2022-06-10,26.9111
HGUP,Up Var (HGUP),2022-06-13,28.7637
HGUP,Up Var (HGUP),2022-06-14,28.9945
HGUP,Up Var (HGUP),2022-06-15,29.0737
HGUP,Up Var (HGUP),2022-06-16,29.2401
HGUP,Up Var (HGUP),2022-06-17,29.0735
HGUP,Up Var (HGUP),2022-06-21,29.0224
HGUP,Up Var (HGUP),2022-06-22,30.5445
HGUP,Up Var (HGUP),2022-06-23,32.3965
HGUP,Up Var (HGUP),2022-06-24,32.5056
HGUP,Up Var (HGUP),2022-06-27,31.2934
HGUP,Up Var (HGUP),2022-06-28,31.2014
HGUP,Up Var (HGUP),2022-06-29,30.6699
HGUP,Up Var (HGUP),2022-06-30,30.9893
HGUP,Up Var (HGUP),2022-07-01,34.9084
HGUP,Up Var (HGUP),2022-07-05,38.1577
HGUP,Up Var (HGUP),2022-07-06,39.6099
HGUP,Up Var (HGUP),2022-07-07,39.693
HGUP,Up Var (HGUP),2022-07-08,37.5473
HGUP,Up Var (HGUP),2022-07-11,38.9169
HGUP,Up Var (HGUP),2022-07-12,41.9536
HGUP,Up Var (HGUP),2022-07-13,41.43
HGUP,Up Var (HGUP),2022-07-14,43.3362
